top - 14:00:41 up 43 min,  1 user,  load average: 0.74, 0.68, 0.64
Tasks: 303 total,   2 running, 284 sleeping,   0 stopped,  17 zombie
%Cpu(s):  7.0 us,  2.3 sy,  0.0 ni, 89.9 id,  0.0 wa,  0.0 hi,  0.8 si,  0.0 st
MiB Mem :  15733.1 total,   8632.4 free,   2789.9 used,   4310.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  11764.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    135 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122+
    134 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122+
    133 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    129 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    128 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    126 root       0 -20       0      0      0 I   0.0   0.0   0:00.13 kworker+
    125 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
    123 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
    122 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    121 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    120 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
    119 root      20   0       0      0      0 I   0.0   0.0   0:01.64 kworker+
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
     69 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     68 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     67 root      20   0       0      0      0 S   0.0   0.0   0:00.09 kcompac+
     66 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     65 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     64 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
     63 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_fr+
     61 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     60 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     58 root      20   0       0      0      0 S   0.0   0.0   0:00.14 ksoftir+
     57 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
     56 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     55 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     54 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root      20   0       0      0      0 S   0.0   0.0   0:00.58 ksoftir+
     51 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
     50 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     49 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     46 root      20   0       0      0      0 S   0.0   0.0   0:00.54 ksoftir+
     45 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
     44 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     43 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     40 root      20   0       0      0      0 S   0.0   0.0   0:00.09 ksoftir+
     39 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
     38 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     37 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
